Student_ID,Enrollment_Date,Region,City,Course_Name,Learning_Mode,Fees_Paid,Attendance_Percent,Course_Status,Placement_Status
4000035,2022-08-20,South,Chennai,Data Science,Online,115459,39,Completed,Not Placed
4000036,2021-08-02,East,Bhubaneswar,Python,Offline,67885,67,Completed,Not Placed
4000037,2024-06-13,West,Mumbai,Cloud Computing,Online,71800,70,Completed,Not Placed
4000038,2022-07-01,North,Chandigarh,Data Science,Online,127451,59,Completed,Placed
4000039,2021-04-04,West,Mumbai,Web Development,Online,76858,69,Ongoing,Not Eligible
4000040,2021-03-23,North,Chandigarh,Python,Online,58193,60,Completed,Not Placed
4000041,2022-05-10,South,Bangalore,Python,Online,63690,68,Completed,Not Placed
4000042,2022-08-26,West,Ahmedabad,Cloud Computing,Online,91071,68,Completed,Not Placed
4000043,2021-01-22,West,Mumbai,AI / ML,Online,133398,52,Ongoing,Not Eligible
4000044,2021-05-09,Central,Indore,Web Development,Online,80165,67,Completed,Placed
4000045,2024-06-19,South,Chennai,Python,Online,61666,86,Ongoing,Not Eligible
4000046,2024-01-15,East,Bhubaneswar,AI / ML,Online,124251,58,Completed,Placed
4000047,2021-07-05,West,Ahmedabad,Python,Offline,60696,72,Ongoing,Not Eligible
4000048,2022-11-02,South,Bangalore,Data Science,Online,120392,58,Completed,Not Placed
4000049,2024-06-06,South,Chennai,Data Science,Online,126282,53,Completed,Not Placed
4000050,2022-07-03,North,Delhi,Cloud Computing,Online,101020,56,Completed,Placed
4000051,2023-01-06,North,Chandigarh,Python,Offline,65342,72,Completed,Not Placed
4000052,2023-11-09,North,Chandigarh,Cloud Computing,Online,91524,45,Dropped,Not Eligible
4000053,2022-10-17,North,Delhi,Cyber Security,Offline,86416,78,Completed,Not Placed
4000054,2024-01-23,East,Bhubaneswar,Python,Online,60293,60,Dropped,Not Eligible
4000055,2024-10-08,North,Lucknow,Cloud Computing,Offline,92836,40,Dropped,Not Eligible
4000056,2021-11-20,East,Kolkata,Python,Online,52264,80,Completed,Not Placed
4000057,2023-05-31,North,Delhi,AI / ML,Online,118189,71,Completed,Not Placed
4000058,2021-12-18,East,Bhubaneswar,Python,Hybrid,45458,64,Completed,Placed
4000059,2024-11-17,South,Chennai,Cyber Security,Online,98680,85,Completed,Placed
4000060,2024-03-01,North,Lucknow,Cyber Security,Online,88023,64,Completed,Not Placed
4000061,2024-08-21,North,Delhi,Python,Online,77703,87,Dropped,Not Eligible
4000062,2023-09-08,Central,Bhopal,Data Science,Online,131125,31,Dropped,Not Eligible
4000063,2024-08-31,South,Chennai,Web Development,Hybrid,73042,94,Completed,Placed
4000064,2023-01-26,North,Delhi,Cloud Computing,Offline,97770,43,Completed,Not Placed
4000065,2024-02-06,East,Bhubaneswar,Data Science,Online,114564,61,Completed,Not Placed
4000066,2024-05-26,South,Hyderabad,Python,Online,64954,42,Dropped,Not Eligible
4000067,2024-03-12,South,Bangalore,Python,Online,54388,79,Ongoing,Not Eligible
4000068,2022-12-14,East,Bhubaneswar,AI / ML,Offline,119700,74,Completed,Not Placed
4000069,2022-06-07,West,Mumbai,Web Development,Online,70419,79,Completed,Placed
4000070,2024-09-13,Central,Bhopal,Cyber Security,Offline,94084,61,Ongoing,Not Eligible
4000071,2023-06-06,North,Delhi,Cyber Security,Online,101753,80,Completed,Not Placed
4000072,2021-09-02,West,Pune,Cyber Security,Hybrid,96239,74,Completed,Not Placed
4000073,2024-02-20,Central,Indore,Data Science,Online,125565,66,Completed,Placed
4000074,2022-05-12,West,Mumbai,Python,Hybrid,66142,69,Ongoing,Not Eligible
4000075,2022-09-30,North,Lucknow,Python,Online,38086,59,Completed,Placed
4000076,2021-09-07,South,Bangalore,Web Development,Online,89682,83,Ongoing,Not Eligible
4000077,2021-02-19,South,Chennai,Python,Offline,59098,72,Completed,Not Placed
4000078,2021-10-07,West,Pune,Cloud Computing,Hybrid,88928,62,Completed,Placed
4000079,2023-12-19,East,Bhubaneswar,Web Development,Online,59901,65,Completed,Placed
4000080,2024-10-31,South,Chennai,Data Science,Online,111026,55,Completed,Placed
4000081,2022-07-23,Central,Indore,Python,Online,57330,69,Completed,Not Placed
4000082,2023-08-04,South,Hyderabad,Web Development,Hybrid,68427,73,Completed,Not Placed
4000083,2024-10-01,Central,Indore,AI / ML,Online,131921,82,Completed,Placed
4000084,2022-11-20,North,Lucknow,Web Development,Hybrid,52932,100,Dropped,Not Eligible
4000085,2021-05-19,South,Hyderabad,AI / ML,Hybrid,138113,53,Completed,Not Placed
4000086,2024-07-12,South,Hyderabad,Data Science,Online,117762,100,Completed,Not Placed
4000087,2024-05-24,West,Ahmedabad,Cloud Computing,Offline,87963,65,Completed,Not Placed
4000088,2021-11-08,East,Bhubaneswar,Cloud Computing,Online,87414,88,Completed,Placed
4000089,2024-04-24,North,Chandigarh,Python,Online,57121,77,Completed,Placed
4000090,2021-11-28,South,Bangalore,Python,Offline,62821,42,Ongoing,Not Eligible
4000091,2023-12-18,West,Pune,Data Science,Online,131639,74,Completed,Not Placed
4000092,2024-09-11,North,Delhi,AI / ML,Hybrid,124443,63,Completed,Not Placed
4000093,2024-02-14,South,Bangalore,Data Science,Offline,122166,75,Completed,Placed
4000094,2022-06-16,North,Chandigarh,Data Science,Online,119341,70,Dropped,Not Eligible
4000095,2022-05-16,West,Mumbai,Data Science,Offline,123325,85,Ongoing,Not Eligible
4000096,2022-05-24,North,Chandigarh,Data Science,Hybrid,129999,99,Ongoing,Not Eligible
4000097,2024-04-01,North,Chandigarh,AI / ML,Hybrid,115353,76,Completed,Not Placed
4000098,2021-11-29,South,Hyderabad,Cyber Security,Online,98782,75,Completed,Placed
4000099,2021-08-26,South,Chennai,Data Science,Online,129399,79,Ongoing,Not Eligible
4000100,2022-10-21,South,Chennai,Python,Online,67416,57,Completed,Placed
4000101,2022-03-20,North,Delhi,Cloud Computing,Online,107593,54,Ongoing,Not Eligible
4000102,2024-06-09,West,Pune,Cloud Computing,Hybrid,74153,41,Completed,Not Placed
4000103,2023-03-30,North,Chandigarh,AI / ML,Online,121984,35,Completed,Not Placed
4000104,2024-01-26,East,Kolkata,Data Science,Online,137604,44,Completed,Not Placed
4000105,2022-03-14,South,Chennai,Web Development,Online,57915,59,Dropped,Not Eligible
4000106,2023-02-24,North,Delhi,Cloud Computing,Online,84721,85,Ongoing,Not Eligible
4000107,2024-08-16,North,Delhi,Data Science,Hybrid,127882,42,Completed,Not Placed
4000108,2024-03-02,North,Delhi,Cloud Computing,Online,86085,76,Completed,Placed
4000109,2021-05-05,West,Ahmedabad,Cyber Security,Online,96161,90,Completed,Placed
4000110,2023-10-21,Central,Bhopal,Web Development,Online,74524,94,Completed,Not Placed
4000111,2024-07-16,South,Bangalore,AI / ML,Online,130984,93,Completed,Placed
4000112,2024-04-24,South,Bangalore,Python,Hybrid,82044,43,Completed,Not Placed
4000113,2022-12-25,South,Hyderabad,Web Development,Online,68210,55,Completed,Not Placed
4000114,2022-07-02,South,Hyderabad,Web Development,Offline,68169,52,Ongoing,Not Eligible
4000115,2021-11-06,South,Bangalore,Data Science,Hybrid,121816,69,Completed,Placed
4000116,2023-11-17,West,Mumbai,Python,Online,76129,76,Completed,Placed
4000117,2024-09-22,Central,Bhopal,Python,Online,48901,62,Completed,Placed
4000118,2021-07-05,South,Chennai,Python,Online,54008,43,Completed,Not Placed
4000119,2021-09-24,West,Ahmedabad,Python,Online,67425,34,Completed,Not Placed
4000120,2022-05-18,North,Chandigarh,Data Science,Online,117201,56,Completed,Placed
4000121,2021-08-03,Central,Indore,Cyber Security,Offline,82430,64,Completed,Not Placed
4000122,2024-12-07,West,Pune,AI / ML,Hybrid,136072,49,Completed,Placed
4000123,2023-03-09,Central,Indore,AI / ML,Online,126011,76,Completed,Placed
4000124,2024-08-26,West,Pune,Python,Online,48248,97,Completed,Placed
4000125,2023-10-24,West,Ahmedabad,Data Science,Offline,117922,58,Completed,Placed
4000126,2021-05-21,West,Pune,Data Science,Online,137437,14,Completed,Not Placed
4000127,2021-06-10,West,Ahmedabad,Cyber Security,Hybrid,85598,71,Dropped,Not Eligible
4000128,2022-05-31,East,Kolkata,Python,Online,65270,100,Ongoing,Not Eligible
4000129,2024-08-10,South,Hyderabad,Data Science,Hybrid,114537,72,Completed,Placed
4000130,2021-10-31,South,Chennai,Web Development,Online,56268,66,Completed,Placed
4000131,2024-06-23,North,Delhi,Python,Online,56630,79,Completed,Placed
4000132,2021-05-17,West,Ahmedabad,AI / ML,Online,140818,67,Completed,Not Placed
4000133,2021-12-22,North,Delhi,Cloud Computing,Online,92362,70,Completed,Not Placed
4000134,2022-02-15,South,Chennai,AI / ML,Online,123400,69,Completed,Not Placed
4000135,2022-01-22,East,Bhubaneswar,Web Development,Online,83890,80,Ongoing,Not Eligible
4000136,2023-12-26,South,Chennai,Data Science,Online,127964,78,Ongoing,Not Eligible
4000137,2023-11-11,West,Ahmedabad,Python,Offline,52189,49,Ongoing,Not Eligible
4000138,2021-01-14,South,Bangalore,Data Science,Hybrid,131090,39,Completed,Not Placed
4000139,2023-11-16,South,Bangalore,Web Development,Offline,82598,60,Dropped,Not Eligible
4000140,2022-08-02,South,Hyderabad,AI / ML,Hybrid,126062,50,Completed,Not Placed
4000141,2023-07-16,East,Bhubaneswar,AI / ML,Offline,138293,66,Completed,Not Placed
4000142,2022-06-02,South,Hyderabad,Cloud Computing,Hybrid,91900,66,Completed,Not Placed
4000143,2022-07-31,South,Hyderabad,Python,Online,61594,65,Dropped,Not Eligible
4000144,2021-01-10,East,Kolkata,Cyber Security,Hybrid,95728,44,Completed,Not Placed
4000145,2022-11-21,East,Bhubaneswar,AI / ML,Hybrid,129488,61,Completed,Not Placed
4000146,2021-12-19,West,Mumbai,Data Science,Online,113873,73,Ongoing,Not Eligible
4000147,2023-04-26,West,Mumbai,Web Development,Online,67323,63,Completed,Not Placed
4000148,2023-09-22,South,Hyderabad,Data Science,Online,127062,72,Completed,Not Placed
4000149,2021-09-23,Central,Indore,AI / ML,Online,135273,47,Completed,Placed
4000150,2021-07-22,South,Bangalore,Data Science,Online,106759,100,Completed,Not Placed
4000151,2021-04-15,East,Kolkata,Web Development,Hybrid,62074,50,Completed,Not Placed
4000152,2024-02-07,West,Pune,Cyber Security,Online,109605,59,Ongoing,Not Eligible
4000153,2022-01-02,East,Kolkata,Cyber Security,Offline,88747,65,Completed,Not Placed
4000154,2023-03-10,East,Kolkata,AI / ML,Online,124601,76,Completed,Placed
4000155,2023-09-09,South,Chennai,Cyber Security,Online,97747,85,Completed,Placed
4000156,2024-01-05,Central,Bhopal,Python,Online,54047,89,Completed,Placed
4000157,2023-09-23,East,Kolkata,Cloud Computing,Offline,97421,100,Completed,Not Placed
4000158,2022-07-02,South,Chennai,Cyber Security,Hybrid,94539,76,Completed,Placed
4000159,2024-12-17,North,Delhi,Data Science,Online,112190,51,Completed,Placed
4000160,2021-04-30,North,Lucknow,Web Development,Offline,62824,62,Completed,Not Placed
4000161,2022-09-19,North,Lucknow,Data Science,Online,112565,70,Completed,Placed
4000162,2022-01-07,West,Ahmedabad,Data Science,Online,128605,76,Ongoing,Not Eligible
4000163,2022-10-30,South,Chennai,Web Development,Online,80734,52,Completed,Placed
4000164,2022-11-07,East,Kolkata,Data Science,Online,130397,60,Completed,Not Placed
4000165,2024-12-10,South,Bangalore,Python,Online,70100,72,Completed,Placed
4000166,2022-09-23,North,Chandigarh,Python,Offline,59038,47,Completed,Placed
4000167,2022-04-05,North,Lucknow,Cloud Computing,Online,84437,91,Completed,Placed
4000168,2021-02-17,East,Bhubaneswar,AI / ML,Online,112516,28,Completed,Not Placed
4000169,2021-06-08,North,Delhi,AI / ML,Online,110972,19,Completed,Not Placed
4000170,2021-03-05,North,Delhi,Data Science,Online,131506,57,Completed,Not Placed
4000171,2024-10-23,West,Pune,AI / ML,Online,132911,57,Completed,Placed
4000172,2024-08-06,East,Kolkata,Data Science,Offline,120076,63,Ongoing,Not Eligible
4000173,2024-06-25,North,Lucknow,Data Science,Offline,118432,61,Ongoing,Not Eligible
4000174,2022-03-26,West,Ahmedabad,Web Development,Online,59416,73,Completed,Not Placed
4000175,2023-06-10,North,Chandigarh,Python,Online,68280,83,Completed,Placed
4000176,2024-12-22,West,Pune,Data Science,Online,127248,61,Completed,Placed
4000177,2023-11-06,South,Hyderabad,Data Science,Offline,115164,52,Ongoing,Not Eligible
4000178,2021-06-02,North,Lucknow,Web Development,Online,68288,67,Dropped,Not Eligible
4000179,2022-11-19,North,Delhi,Web Development,Offline,63947,56,Completed,Placed
4000180,2024-05-15,North,Lucknow,Cloud Computing,Online,98452,54,Completed,Placed
4000181,2021-01-20,South,Hyderabad,AI / ML,Online,133172,30,Dropped,Not Eligible
4000182,2021-07-27,South,Chennai,AI / ML,Hybrid,136550,60,Completed,Not Placed
4000183,2023-04-12,South,Chennai,Data Science,Online,94957,74,Completed,Placed
4000184,2021-03-28,West,Mumbai,AI / ML,Offline,132918,75,Ongoing,Not Eligible
4000185,2022-07-09,South,Hyderabad,Web Development,Online,65781,65,Ongoing,Not Eligible
4000186,2024-11-29,South,Hyderabad,Data Science,Online,116282,80,Completed,Not Placed
4000187,2021-08-27,North,Chandigarh,Cyber Security,Hybrid,100079,98,Ongoing,Not Eligible
4000188,2022-06-04,Central,Indore,Web Development,Offline,62930,100,Ongoing,Not Eligible
4000189,2023-01-05,Central,Bhopal,AI / ML,Online,136433,33,Completed,Not Placed
4000190,2021-10-23,West,Pune,Data Science,Offline,120318,80,Completed,Not Placed
4000191,2022-11-30,East,Kolkata,Web Development,Offline,65968,37,Ongoing,Not Eligible
4000192,2023-02-24,North,Chandigarh,Python,Hybrid,58342,76,Completed,Not Placed
4000193,2022-11-05,West,Mumbai,Python,Online,58420,62,Ongoing,Not Eligible
4000194,2024-08-27,East,Bhubaneswar,AI / ML,Online,125202,48,Ongoing,Not Eligible
4000195,2021-09-04,South,Bangalore,Web Development,Online,85911,39,Completed,Not Placed
4000196,2021-02-23,East,Kolkata,Python,Online,64298,56,Ongoing,Not Eligible
4000197,2022-08-14,Central,Indore,Cloud Computing,Offline,97150,46,Dropped,Not Eligible
4000198,2021-02-08,North,Chandigarh,Cloud Computing,Hybrid,98285,31,Completed,Not Placed
4000199,2021-01-11,South,Bangalore,Web Development,Online,88995,64,Completed,Placed
4000200,2022-05-05,West,Mumbai,AI / ML,Online,130687,41,Completed,Not Placed
4000201,2023-11-17,South,Bangalore,Python,Offline,71096,71,Completed,Placed
4000202,2024-11-15,North,Chandigarh,AI / ML,Offline,130778,57,Completed,Not Placed
4000203,2024-08-11,North,Lucknow,Cloud Computing,Online,82528,26,Completed,Placed
4000204,2021-01-25,North,Lucknow,Python,Online,69937,73,Completed,Not Placed
4000205,2024-02-25,West,Pune,Data Science,Offline,138507,59,Ongoing,Not Eligible
4000206,2023-05-06,West,Pune,AI / ML,Hybrid,129454,96,Completed,Not Placed
4000207,2021-11-07,South,Bangalore,Web Development,Online,54001,21,Completed,Not Placed
4000208,2022-11-20,North,Chandigarh,AI / ML,Offline,140042,50,Dropped,Not Eligible
4000209,2023-08-16,North,Lucknow,Data Science,Online,101151,70,Completed,Not Placed
4000210,2024-01-06,Central,Bhopal,Python,Offline,74520,60,Completed,Not Placed
4000211,2023-03-13,South,Bangalore,Web Development,Offline,63250,58,Ongoing,Not Eligible
4000212,2021-03-03,North,Delhi,Python,Offline,60480,100,Ongoing,Not Eligible
4000213,2024-10-09,West,Pune,Python,Offline,63151,56,Completed,Placed
4000214,2023-03-25,North,Lucknow,Python,Online,56137,65,Completed,Not Placed
4000215,2022-08-21,North,Chandigarh,Python,Online,70041,86,Completed,Not Placed
4000216,2024-06-28,North,Lucknow,Python,Offline,59074,80,Completed,Placed
4000217,2022-10-09,East,Bhubaneswar,AI / ML,Online,129552,85,Completed,Placed
4000218,2024-04-16,Central,Bhopal,Python,Online,69303,73,Completed,Placed
4000219,2022-03-11,West,Mumbai,Cyber Security,Hybrid,111107,79,Ongoing,Not Eligible
4000220,2022-06-06,West,Pune,Python,Offline,44843,73,Ongoing,Not Eligible
4000221,2024-09-19,South,Bangalore,Cyber Security,Offline,107150,44,Completed,Not Placed
4000222,2024-02-10,North,Chandigarh,Python,Offline,63478,59,Completed,Not Placed
4000223,2024-10-02,Central,Indore,Data Science,Online,129007,49,Ongoing,Not Eligible
4000224,2023-09-28,North,Chandigarh,Python,Offline,73122,58,Completed,Not Placed
4000225,2024-10-20,West,Ahmedabad,Cyber Security,Online,105063,55,Ongoing,Not Eligible
4000226,2023-10-26,East,Bhubaneswar,Python,Online,53498,77,Completed,Placed
4000227,2024-04-15,West,Mumbai,Data Science,Offline,111885,84,Dropped,Not Eligible
4000228,2021-04-01,East,Kolkata,Data Science,Online,126495,50,Ongoing,Not Eligible
4000229,2023-08-19,North,Delhi,Cloud Computing,Hybrid,84655,53,Completed,Not Placed
4000230,2023-11-15,Central,Indore,Python,Online,50998,58,Ongoing,Not Eligible
4000231,2021-04-11,South,Chennai,Data Science,Online,125476,83,Completed,Not Placed
4000232,2021-11-02,West,Ahmedabad,Data Science,Offline,119024,63,Completed,Not Placed
4000233,2023-01-10,Central,Bhopal,Cloud Computing,Offline,105888,73,Completed,Not Placed
4000234,2021-07-26,East,Kolkata,Python,Online,55423,80,Dropped,Not Eligible
4000235,2023-01-29,West,Ahmedabad,Cloud Computing,Online,88931,78,Completed,Placed
4000236,2024-01-20,South,Hyderabad,Web Development,Online,86798,61,Completed,Placed
4000237,2024-04-22,West,Mumbai,Python,Offline,55687,57,Completed,Placed
4000238,2024-05-31,West,Ahmedabad,Cyber Security,Hybrid,82379,29,Completed,Not Placed
4000239,2023-03-25,East,Kolkata,Cloud Computing,Online,83745,73,Completed,Not Placed
4000240,2022-07-02,South,Bangalore,AI / ML,Hybrid,119966,74,Completed,Placed
4000241,2022-07-22,South,Hyderabad,Data Science,Online,126071,51,Ongoing,Not Eligible
4000242,2022-02-22,North,Chandigarh,Data Science,Hybrid,125332,91,Ongoing,Not Eligible
4000243,2023-11-24,North,Lucknow,Data Science,Online,135341,86,Completed,Placed
4000244,2023-05-06,West,Pune,Python,Hybrid,51734,83,Ongoing,Not Eligible
4000245,2024-07-13,East,Kolkata,AI / ML,Offline,135671,63,Dropped,Not Eligible
4000246,2024-04-16,West,Mumbai,Data Science,Offline,124067,57,Completed,Not Placed
4000247,2024-06-12,West,Mumbai,Data Science,Online,112542,36,Ongoing,Not Eligible
4000248,2021-03-08,North,Chandigarh,Python,Hybrid,39866,74,Completed,Not Placed
4000249,2021-12-21,North,Delhi,Cloud Computing,Online,89840,45,Completed,Not Placed
4000250,2022-10-28,North,Lucknow,Data Science,Online,120514,34,Completed,Not Placed
4000251,2024-04-05,North,Delhi,Python,Offline,57375,50,Completed,Not Placed
4000252,2024-03-29,North,Delhi,Cyber Security,Offline,96703,60,Ongoing,Not Eligible
4000253,2022-11-26,Central,Indore,Cloud Computing,Offline,90807,54,Completed,Not Placed
4000254,2024-02-29,South,Chennai,Cyber Security,Hybrid,100004,54,Ongoing,Not Eligible
4000255,2023-07-11,Central,Indore,Web Development,Offline,71771,95,Completed,Placed
4000256,2023-03-23,North,Chandigarh,Data Science,Offline,109523,68,Completed,Placed
4000257,2023-07-27,West,Pune,Cloud Computing,Offline,83177,77,Dropped,Not Eligible
4000258,2022-11-19,North,Lucknow,Python,Online,65016,50,Ongoing,Not Eligible
4000259,2021-08-16,South,Chennai,Cloud Computing,Online,99964,68,Completed,Not Placed
4000260,2021-01-31,North,Chandigarh,AI / ML,Online,125142,90,Completed,Placed
4000261,2021-09-03,East,Kolkata,Python,Online,75843,67,Ongoing,Not Eligible
4000262,2023-04-19,East,Kolkata,Python,Offline,66417,82,Completed,Placed
4000263,2024-03-21,Central,Bhopal,Cloud Computing,Offline,84558,88,Completed,Placed
4000264,2021-06-01,West,Pune,Cyber Security,Offline,107683,76,Dropped,Not Eligible
4000265,2024-07-13,West,Mumbai,AI / ML,Offline,122744,94,Completed,Not Placed
4000266,2023-01-08,West,Pune,Python,Hybrid,63444,60,Completed,Not Placed
4000267,2023-01-30,West,Ahmedabad,Python,Online,56473,59,Completed,Placed
4000268,2024-04-10,East,Bhubaneswar,Data Science,Offline,116819,77,Completed,Not Placed
4000269,2021-06-27,South,Chennai,Python,Online,63256,32,Completed,Placed
4000270,2022-06-27,North,Chandigarh,AI / ML,Offline,123416,57,Completed,Not Placed
4000271,2021-09-23,North,Chandigarh,Web Development,Online,79124,36,Completed,Placed
4000272,2021-02-13,East,Kolkata,Python,Online,44705,24,Completed,Placed
4000273,2024-02-19,West,Ahmedabad,Cloud Computing,Offline,101060,60,Completed,Placed
4000274,2022-01-10,North,Chandigarh,Web Development,Hybrid,59605,88,Completed,Not Placed
4000275,2022-11-01,North,Chandigarh,AI / ML,Online,116405,61,Completed,Placed
4000276,2022-04-06,North,Chandigarh,Python,Online,46710,83,Completed,Not Placed
4000277,2023-06-27,North,Lucknow,Cloud Computing,Online,99296,62,Completed,Placed
4000278,2022-02-15,North,Lucknow,Python,Online,73231,60,Ongoing,Not Eligible
4000279,2021-08-26,South,Bangalore,Python,Online,63322,49,Completed,Not Placed
4000280,2022-05-25,South,Chennai,AI / ML,Online,128742,80,Ongoing,Not Eligible
4000281,2024-09-12,South,Bangalore,Data Science,Online,124933,89,Dropped,Not Eligible
4000282,2022-05-16,West,Pune,Data Science,Online,155627,35,Ongoing,Not Eligible
4000283,2021-08-22,West,Ahmedabad,Cyber Security,Offline,95966,76,Completed,Not Placed
4000284,2022-11-18,West,Ahmedabad,Web Development,Hybrid,70735,39,Ongoing,Not Eligible
4000285,2023-08-24,West,Ahmedabad,Data Science,Online,125799,56,Completed,Placed
4000286,2024-12-27,West,Ahmedabad,Web Development,Hybrid,86677,71,Ongoing,Not Eligible
4000287,2021-06-13,North,Chandigarh,AI / ML,Online,134621,67,Ongoing,Not Eligible
4000288,2023-08-27,North,Lucknow,AI / ML,Online,128663,71,Completed,Not Placed
4000289,2024-11-02,West,Ahmedabad,Cyber Security,Hybrid,104909,61,Completed,Not Placed
4000290,2022-01-28,West,Mumbai,Cyber Security,Offline,89335,79,Completed,Not Placed
4000291,2024-07-08,West,Ahmedabad,Cloud Computing,Offline,89393,44,Ongoing,Not Eligible
4000292,2021-03-08,West,Pune,Python,Hybrid,59752,85,Dropped,Not Eligible
4000293,2022-09-16,East,Kolkata,Python,Hybrid,53024,96,Completed,Placed
4000294,2024-03-10,West,Mumbai,Data Science,Online,97353,67,Completed,Placed
4000295,2021-11-29,North,Lucknow,Web Development,Online,67217,54,Completed,Placed
4000296,2023-06-04,West,Pune,AI / ML,Hybrid,145395,74,Dropped,Not Eligible
4000297,2022-12-30,West,Pune,Web Development,Online,83085,65,Completed,Not Placed
4000298,2022-03-03,North,Delhi,Cloud Computing,Online,98877,76,Completed,Placed
4000299,2024-11-26,North,Lucknow,Python,Online,72464,56,Dropped,Not Eligible
4000300,2021-12-04,North,Chandigarh,AI / ML,Offline,134456,45,Completed,Not Placed
4000301,2024-02-05,South,Bangalore,Python,Hybrid,55336,47,Completed,Placed
4000302,2023-11-13,West,Pune,Data Science,Online,115352,38,Completed,Not Placed
4000303,2024-03-19,South,Chennai,AI / ML,Hybrid,129381,71,Completed,Placed
4000304,2022-10-24,East,Bhubaneswar,Python,Offline,73236,40,Completed,Not Placed
4000305,2022-09-20,West,Ahmedabad,Data Science,Offline,129072,71,Dropped,Not Eligible
4000306,2021-04-10,West,Mumbai,Data Science,Offline,114016,79,Completed,Placed
4000307,2024-03-04,South,Chennai,Data Science,Offline,111761,29,Completed,Not Placed
4000308,2023-03-25,North,Delhi,Data Science,Online,110518,87,Completed,Not Placed
4000309,2023-09-13,South,Bangalore,Data Science,Online,114488,79,Dropped,Not Eligible
4000310,2021-05-25,North,Chandigarh,AI / ML,Online,113584,72,Completed,Not Placed
4000311,2021-12-16,South,Hyderabad,Data Science,Online,119642,86,Completed,Placed
4000312,2023-07-12,North,Chandigarh,AI / ML,Hybrid,131708,80,Completed,Placed
4000313,2022-05-02,North,Chandigarh,Data Science,Online,119082,79,Ongoing,Not Eligible
4000314,2023-01-02,South,Chennai,Cloud Computing,Online,76413,78,Completed,Placed
4000315,2021-12-22,Central,Bhopal,Cyber Security,Offline,101529,45,Completed,Not Placed
4000316,2023-11-10,South,Hyderabad,Python,Offline,57941,64,Completed,Not Placed
4000317,2022-11-07,West,Ahmedabad,Data Science,Hybrid,124515,61,Completed,Not Placed
4000318,2023-05-26,South,Hyderabad,Data Science,Offline,124592,54,Completed,Not Placed
